title,symbol,code,board,cat,capital,vol
TRADEPLUS S&P NEW CHINA TRACKER-MYR,CHINAETF-MYR,0829EA,ETF,ETF-Equity,10.07,5.0
ADVANCE SYNERGY BERHAD,ASB,1481,Main Market,Consumer Products & Services,162.61,1777096.0
FRASER & NEAVE HOLDINGS BHD,F&N,3689,Main Market,Consumer Products & Services,11560.86,225.0
EWEIN BERHAD,EWEIN,7249,Main Market,Property,111.59,120014.0
HAP SENG CONSOLIDATED BERHAD,HAPSENG,3034,Main Market,Industrial Products & Services,22656.1,5889.0
KOSSAN RUBBER INDUSTRIES BERHAD,KOSSAN,7153,Main Market,Health Care,11484.84,86495.0
KOTRA INDUSTRIES BERHAD,KOTRA,0002,Main Market,Health Care,447.46,870.0
RCE CAPITAL BERHAD,RCECAP,9296,Main Market,Financial Services,705.0,2781.0
HOMERITZ CORPORATION BERHAD,HOMERIZ,5160,Main Market,Consumer Products & Services,168.01,1062.0
SAMCHEM HOLDINGS BERHAD,SAMCHEM,5147,Main Market,Industrial Products & Services,208.08,22679.0
MATRIX CONCEPTS HOLDINGS BERHAD,MATRIX,5236,Main Market,Property,1509.93,6434.0
VITROX CORPORATION BERHAD,VITROX,0097,Main Market,Technology,3985.66,598.0
JHM CONSOLIDATION BERHAD,JHM,0127,Ace Market,Technology,462.81,39104.0
KKB ENGINEERING BERHAD,KKB,9466,Main Market,Industrial Products & Services,453.71,3745.0
RGB INTERNATIONAL BHD,RGB,0037,Main Market,Consumer Products & Services,224.5,127562.0
DIALOG GROUP BERHAD,DIALOG,7277,Main Market,Energy,21438.24,108107.0
HONG LEONG INDUSTRIES BERHAD,HLIND,3301,Main Market,Consumer Products & Services,2819.97,950.0
ATA IMS BERHAD,ATAIMS,8176,Main Market,Industrial Products & Services,1216.41,33572.0
MMIS BERHAD,MMIS,03027,Leap Market,Industrial Products & Services,87.5,0.0
KELINGTON GROUP BERHAD,KGB,0151,Main Market,Industrial Products & Services,305.23,19715.0
SKP RESOURCES BHD,SKPRES,7155,Main Market,Industrial Products & Services,1287.69,26109.0
MASTER-PACK GROUP BERHAD,MASTER,7029,Main Market,Industrial Products & Services,109.24,15135.0
JOHORE TIN BERHAD,JOHOTIN,7167,Main Market,Consumer Products & Services,496.75,20893.0
ECM LIBRA GROUP BERHAD,ECM,2143,Main Market,Financial Services,110.38,15.0
PESTECH INTERNATIONAL BERHAD,PESTECH,5219,Main Market,Industrial Products & Services,710.79,3800.0
OMESTI BERHAD,OMESTI,9008,Main Market,Technology,294.62,37182.0
MALAYSIAN BULK CARRIERS BERHAD,MAYBULK,5077,Main Market,Transportation & Logistics,360.0,13723.0
PRESS METAL ALUMINIUM HOLDINGS BERHAD,PMETAL,8869,Main Market,Industrial Products & Services,18373.4,86928.0
HO HUP CONSTRUCTION COMPANY BHD,HOHUP,5169,Main Market,Construction,237.12,22041.0
FOCUS POINT HOLDINGS BERHAD,FOCUSP,0157,Ace Market,Consumer Products & Services,92.4,1967.0
LEE SWEE KIAT GROUP BERHAD,LEESK,8079,Main Market,Consumer Products & Services,97.33,4435.0
SUPREME CONSOLIDATED RESOURCES BERHAD,SUPREME,03018,Leap Market,Consumer Products & Services,79.8,0.0
PETRONAS GAS BERHAD,PETGAS,6033,Main Market,Utilities,35419.3,15194.0
IRIS CORPORATION BERHAD,IRIS,0010,Ace Market,Technology,444.94,236896.0
PANASONIC MANUFACTURING MALAYSIA BERHAD,PANAMY,3719,Main Market,Consumer Products & Services,1832.09,156.0
PINTARAS JAYA BHD,PTARAS,9598,Main Market,Construction,449.49,268.0
D.B.E. GURNEY RESOURCES BERHAD,DBE,7179,Main Market,Consumer Products & Services,70.93,71329.0
ALLIANZ MALAYSIA BERHAD,ALLIANZ,1163,Main Market,Financial Services,2685.17,257.0
MTAG GROUP BERHAD,MTAG,0213,Ace Market,Industrial Products & Services,361.26,91443.0
INARI AMERTRON BERHAD,INARI,0166,Main Market,Technology,5027.72,88465.0
TECHFAST HOLDINGS BERHAD,TECFAST,0084,Ace Market,Industrial Products & Services,88.98,47945.0
COCOALAND HOLDINGS BERHAD,COCOLND,7205,Main Market,Consumer Products & Services,425.57,150.0
EITA RESOURCES BERHAD,EITA,5208,Main Market,Industrial Products & Services,172.9,2057.0
MUAR BAN LEE GROUP BERHAD,MBL,5152,Main Market,Industrial Products & Services,149.3,8630.0
SAM ENGINEERING & EQUIPMENT (M) BERHAD,SAM,9822,Main Market,Industrial Products & Services,778.56,935.0
UMW HOLDINGS BERHAD,UMW,4588,Main Market,Consumer Products & Services,3376.37,227181.0
RANHILL UTILITIES BERHAD,RANHILL,5272,Main Market,Utilities,1040.75,1473.0
BIMB HOLDINGS BERHAD,BIMB,5258,Main Market,Financial Services,6489.44,5454.0
BOILERMECH HOLDINGS BERHAD,BOILERM,0168,Main Market,Industrial Products & Services,270.9,2346.0
KERJAYA PROSPEK GROUP BERHAD,KERJAYA,7161,Main Market,Construction,1378.58,6330.0
ELSOFT RESEARCH BERHAD,ELSOFT,0090,Main Market,Technology,401.67,11869.0
MELEWAR INDUSTRIAL GROUP BERHAD,MELEWAR,3778,Main Market,Industrial Products & Services,80.87,28425.0
YINSON HOLDINGS BERHAD,YINSON,7293,Main Market,Energy,6466.65,42232.0
BRITE-TECH BERHAD,BTECH,0011,Ace Market,Utilities,60.48,2511.0
APEX HEALTHCARE BERHAD,AHEALTH,7090,Main Market,Health Care,1349.9,1647.0
PUBLIC BANK BERHAD,PBBANK,1295,Main Market,Financial Services,67238.64,57846.0
TIME DOTCOM BERHAD,TIMECOM,5031,Main Market,Telecommunications & Media,6292.72,9309.0
REDTONE INTERNATIONAL BERHAD,REDTONE,0032,Ace Market,Telecommunications & Media,332.54,38868.0
TEO SENG CAPITAL BERHAD,TEOSENG,7252,Main Market,Consumer Products & Services,280.51,3376.0
KIM HIN JOO (MALAYSIA) BERHAD,KHJB,0210,Ace Market,Consumer Products & Services,79.8,4699.0
FORMOSA PROSONIC INDUSTRIES BERHAD,FPI,9172,Main Market,Consumer Products & Services,336.41,3557.0
LUXCHEM CORPORATION BERHAD,LUXCHEM,5143,Main Market,Industrial Products & Services,743.52,188131.0
DAMANSARA REALTY BHD,DBHD,3484,Main Market,Property,135.31,19453.0
SCC HOLDINGS BERHAD,SCC,0158,Ace Market,Consumer Products & Services,57.88,465.0
JF TECHNOLOGY BERHAD,JFTECH,0146,Ace Market,Technology,386.4,13121.0
CCK CONSOLIDATED HOLDINGS BERHAD,CCK,7035,Main Market,Consumer Products & Services,331.13,9956.0
POH HUAT RESOURCES HOLDINGS BERHAD,POHUAT,7088,Main Market,Consumer Products & Services,249.3,2813.0
CYPARK RESOURCES BERHAD,CYPARK,5184,Main Market,Industrial Products & Services,446.41,37305.0
BP PLASTICS HOLDING BHD,BPPLAS,5100,Main Market,Industrial Products & Services,219.59,1339.0
PERAK TRANSIT BERHAD,PTRANS,0186,Main Market,Consumer Products & Services,248.99,58066.0
KOBAY TECHNOLOGY BERHAD,KOBAY,6971,Main Market,Industrial Products & Services,184.79,95.0
QL RESOURCES BERHAD,QL,7084,Main Market,Consumer Products & Services,14877.76,28597.0
AJINOMOTO (MALAYSIA) BERHAD,AJI,2658,Main Market,Consumer Products & Services,909.55,179.0
E.A.TECHNIQUE (M) BERHAD,EATECH,5259,Main Market,Transportation & Logistics,185.68,39123.0
JAYCORP BERHAD,JAYCORP,7152,Main Market,Consumer Products & Services,113.23,1031.0
C.I. HOLDINGS BERHAD,CIHLDG,2828,Main Market,Consumer Products & Services,191.16,140.0
TRADEPLUS HSCEI DAILY (2X) LEVERAGED TRACKER,HSCEI-2XL,0832EA,,,1.16,0.0
FAVELLE FAVCO BERHAD,FAVCO,7229,Main Market,Industrial Products & Services,517.31,104.0
ZECON BERHAD,ZECON,7028,Main Market,Construction,55.49,618.0
MBM RESOURCES BHD,MBMR,5983,Main Market,Consumer Products & Services,1340.74,29486.0
SUPERMAX CORPORATION BERHAD,SUPERMX,7106,Main Market,Health Care,12079.55,399935.0
DAIBOCHI BERHAD,DAIBOCI,8125,Main Market,Industrial Products & Services,786.96,984.0
TOPVISION EYE SPECIALIST BERHAD,TOPVISN,03013,Leap Market,Health Care,140.58,0.0
KPJ HEALTHCARE BERHAD,KPJ,5878,Main Market,Health Care,3953.31,21052.0
PETRA ENERGY BERHAD,PENERGY,5133,Main Market,Energy,254.18,6217.0
THONG GUAN INDUSTRIES BERHAD,TGUAN,7034,Main Market,Industrial Products & Services,733.33,3565.0
JAKS RESOURCES BERHAD,JAKS,4723,Main Market,Construction,586.01,78399.0
SYMPHONY LIFE BERHAD,SYMLIFE,1538,Main Market,Property,237.23,7338.0
MALAYAN BANKING BERHAD,MAYBANK,1155,Main Market,Financial Services,90830.2,100941.0
COMFORT GLOVES BERHAD,COMFORT,2127,Main Market,Industrial Products & Services,2116.11,646946.0
MANFORCE GROUP BERHAD,MFGROUP,03015,Leap Market,Consumer Products & Services,75.2,0.0
HAI-O ENTERPRISE BERHAD,HAIO,7668,Main Market,Consumer Products & Services,561.56,1349.0
SLP RESOURCES BERHAD,SLP,7248,Main Market,Industrial Products & Services,263.08,2529.0
DPI HOLDINGS BERHAD,DPIH,0205,Ace Market,Consumer Products & Services,90.05,26216.0
DANCOMECH HOLDINGS BERHAD,DANCO,5276,Main Market,Industrial Products & Services,121.6,610.0
UEM EDGENTA BERHAD,EDGENTA,1368,Main Market,Industrial Products & Services,1746.41,13097.0
IDEAL UNITED BINTANG INTERNATIONAL BERHAD,IDEAL,9687,Main Market,Property,609.15,199.0
ECONPILE HOLDINGS BERHAD,ECONBHD,5253,Main Market,Construction,829.25,141312.0
REVENUE GROUP BERHAD,REVENUE,0200,Ace Market,Technology,475.09,117353.0
AMTEL HOLDINGS BERHAD,AMTEL,7031,Main Market,Telecommunications & Media,27.64,892.0
MMS VENTURES BERHAD,MMSV,0113,Main Market,Technology,122.45,5021.0
KHIND HOLDINGS BERHAD,KHIND,7062,Main Market,Consumer Products & Services,68.1,40.0
BCM ALLIANCE BERHAD,BCMALL,0187,Ace Market,Industrial Products & Services,117.95,867808.0
AXIS REAL ESTATE INVESTMENT TRUST,AXREIT,5106,Main Market,Real Estate Investment Trusts,2826.97,23305.0
DUOPHARMA BIOTECH BERHAD,DPHARMA,7148,Main Market,Health Care,1122.39,12136.0
POWERWELL HOLDINGS BERHAD,PWRWELL,0217,Ace Market,Industrial Products & Services,182.87,936911.0
OCR GROUP BERHAD,OCR,7071,Main Market,Construction,122.58,117726.0
WEGMANS HOLDINGS BERHAD,WEGMANS,0197,Main Market,Consumer Products & Services,87.5,5189.0
DPS RESOURCES BERHAD,DPS,7198,Main Market,Property,41.14,3546.0
PCCS GROUP BERHAD,PCCS,6068,Main Market,Consumer Products & Services,68.38,19902.0
SOLARVEST HOLDINGS BERHAD,SLVEST,0215,Ace Market,Industrial Products & Services,496.09,77809.0
CRG INCORPORATED BERHAD,CRG,03016,Leap Market,Consumer Products & Services,44.31,0.0
BCB BERHAD,BCB,6602,Main Market,Property,121.69,3080.0
MEGA FIRST CORPORATION BERHAD,MFCB,3069,Main Market,Utilities,3233.14,9398.0
D&O GREEN TECHNOLOGIES BERHAD,D&O,7204,Main Market,Technology,743.85,17822.0
EUPE CORPORATION BERHAD,EUPE,6815,Main Market,Property,70.4,1434.0
VSTECS BERHAD,VSTECS,5162,Main Market,Technology,212.4,3094.0
I-STONE GROUP BERHAD,ISTONE,0209,Ace Market,Technology,201.54,62335.0
DELEUM BERHAD,DELEUM,5132,Main Market,Energy,301.16,19467.0
IBRACO BERHAD,IBRACO,5084,Main Market,Property,297.84,313.0
V.S. INDUSTRY BERHAD,VS,6963,Main Market,Industrial Products & Services,1659.62,77770.0
TOP GLOVE CORPORATION BHD,TOPGLOV,7113,Main Market,Health Care,43140.13,304763.0
MAGNUM BERHAD,MAGNUM,3859,Main Market,Consumer Products & Services,3306.82,21388.0
RHB BANK BERHAD,RHBBANK,1066,Main Market,Financial Services,21694.35,45090.0
KIP REAL ESTATE INVESTMENT TRUST,KIPREIT,5280,Main Market,Real Estate Investment Trusts,411.82,1259.0
HONG LEONG BANK BERHAD,HLBANK,5819,Main Market,Financial Services,32775.9,6994.0
PETRONAS DAGANGAN BHD,PETDAG,5681,Main Market,Consumer Products & Services,21756.64,2620.0
HLT GLOBAL BERHAD,HLT,0188,Ace Market,Industrial Products & Services,450.56,1198432.0
SUPERCOMNET TECHNOLOGIES BERHAD,SCOMNET,0001,Ace Market,Industrial Products & Services,668.72,22813.0
SUNWAY REAL ESTATE INVESTMENT TRUST,SUNREIT,5176,Main Market,Real Estate Investment Trusts,4771.03,15358.0
SMILE-LINK HEALTHCARE GLOBAL BERHAD,SMILE,03023,Leap Market,Health Care,75.12,610.0
MALAYSIA SMELTING CORPORATION BERHAD,MSC,5916,Main Market,Industrial Products & Services,288.0,210.0
ORIENTAL INTEREST BERHAD,OIB,5827,Main Market,Property,260.16,94.0
VISDYNAMICS HOLDINGS BERHAD,VIS,0120,Ace Market,Technology,75.96,27509.0
BINTULU PORT HOLDINGS BERHAD,BIPORT,5032,Main Market,Transportation & Logistics,1909.0,394.0
